Item_Id,Low_Cap_Price
IT_265079,11773.223333333333
IT_265087,17222.26
IT_265107,24314.23
IT_265139,24254.32
IT_265142,11789.2
IT_265144,11843.58
IT_265148,12657.69
IT_265156,23861.25
IT_265162,21632.9
IT_265170,20726.34
IT_265175,22479.14
IT_265181,19453.28
IT_265183,17539.28
IT_265184,17523.06
IT_265196,19300.69
IT_265201,23048.91
IT_265205,22979.62
IT_265244,17222.26
IT_265255,24140.98
IT_265259,22654.68
IT_265264,24314.23
IT_265274,16547.6
IT_265275,20092.36
IT_265294,9216.73
IT_265315,21739.09
IT_265317,10419.89
IT_265332,18040.21
IT_265338,19256.43
IT_265339,17932.55
IT_265341,18963.15
IT_265349,22527.26
IT_265350,19101.61
IT_265360,18341.77
IT_265379,17559.12
IT_265382,24087.51
IT_265417,24314.23
IT_265448,11827.77
IT_265455,13124.75
IT_265482,20647.53
IT_265490,17433.7
IT_265495,22495.37
IT_265499,22264.68
IT_265500,18838.32
IT_265504,22875.51
IT_265507,19342.64
IT_265533,20718.07
IT_265566,24314.23
IT_265568,20142.05
IT_265575,24254.32
IT_265577,12685.47
IT_265581,21261.05
IT_265611,20580.18
IT_265615,16405.92
IT_265647,24473.24
IT_265697,21224.95
IT_265701,10974.73
IT_265702,11926.62
IT_265703,10644.83
IT_265720,21739.09
IT_265734,24442.92
IT_265736,18886.19
IT_265740,19463.74
IT_265742,20641.02
IT_265747,21174.62
IT_265751,18225.94
IT_265757,23007.99
IT_265792,21043.23
IT_265816,24499.96
IT_265819,13260.652000000002
IT_265866,21236.89
IT_265869,24254.32
IT_265874,10662.91
IT_265880,15522.9
IT_265905,23194.62
IT_265911,19523.06
IT_265922,22875.51
IT_265927,23532.4
IT_265932,23065.3
IT_265935,21596.33
IT_265948,16547.6
IT_265966,19675.96
IT_265976,15105.98
IT_265999,22654.68
IT_266030,20515.54
IT_266056,9191.92
IT_266058,11923.91
IT_266060,10104.95
IT_266069,15316.03
IT_266096,21339.27
IT_266103,24440.13
IT_266111,19519.0
IT_266115,20449.33
IT_266124,22891.87
IT_266128,23007.99
IT_266132,20601.52
IT_266137,20704.36
IT_266141,11873.43
IT_266155,24087.51
IT_266157,24289.2
IT_266166,20759.61
IT_266175,15347.92
IT_266188,23675.6
IT_266255,10376.89
IT_266258,13774.11
IT_266264,12210.78
IT_266281,21739.09
IT_266298,24615.84
IT_266299,16696.31
IT_266307,17748.03
IT_266318,16591.82
IT_266322,22875.51
IT_266324,16965.16
IT_266334,21704.37
IT_266338,12951.16
IT_266354,21309.14
IT_266366,13269.166666666664
IT_266376,15890.43
IT_266402,24494.79
IT_266413,17945.98
IT_266453,4281.77
IT_266498,24442.92
IT_266499,10040.87
IT_266506,19625.83
IT_266514,16605.91
IT_266523,22868.37
IT_266532,20591.44
IT_266536,21596.33
IT_266537,18304.79
IT_266541,12191.68
IT_266556,24289.2
IT_266557,21974.01
IT_266571,13660.632000000001
IT_266578,15339.34
IT_266594,23569.48
IT_266650,21815.03
IT_266665,13090.11
IT_266667,19832.58
IT_266671,11280.961000000001
IT_266684,21096.01
IT_266700,22570.28
IT_266703,18301.93
IT_266715,20037.79
IT_266731,23717.02
IT_266741,17250.32
IT_266744,16933.57
IT_266752,21475.76
IT_266786,24254.32
IT_266806,17494.33
IT_266825,21309.14
IT_266833,10004.31
IT_266836,17487.17
IT_266842,11140.62
IT_266855,24776.27
IT_266915,24195.14
IT_266927,24254.32
